"M.b1t1"	"M.b1t2"	"M.b1t3"	"M.b2t1"	"M.b2t2"	"M.b2t3"	"M.b3t1"	"M.b3t2"	"M.b3t3"	"H.b1t1"	"H.b1t2"	"H.b1t3"	"H.b2t1"	"H.b2t2"	"H.b2t3"	"H.b3t1"	"H.b3t2"	"H.b3t3"
19825000	3825000	9129300	3896000	11603000	2249300	5280600	5390400	5361600	8688700	2800200	13778000	5538200	3273000	3565700	5544500	5427200	5114400
60537000	51639000	65350000	30578000	43672000	37100000	60251000	51129000	9841600	15523000	7261200	16757000	15533000	49093000	42529000	7171000	17362000	10862000
8439100	11228000	7476700	10185000	4332700	8943000	8768500	11508000	9485900	23902000	22844000	21061000	29363000	14840000	19720000	14032000	29680000	25223000
73791000	109790000	102130000	133320000	108850000	120140000	117750000	102220000	144330000	83282000	138240000	126930000	189010000	153360000	142270000	128770000	120850000	1.61e+08
NA	5050800	1873300	10304000	16908000	18612000	3926000	5226600	5247000	NA	13772000	6920600	31252000	49220000	48471000	10492000	11529000	9780400
147570000	140440000	131260000	205900000	220870000	192300000	126400000	167120000	153020000	212940000	119110000	115700000	192450000	206020000	184900000	111160000	153260000	140140000
4507000	3206100	3632000	5409700	5117400	2874000	3802600	3784600	4200500	4315100	2293500	2178800	9034300	9543600	4932700	3210200	2983500	2195700
11816000	11048000	15302000	3599200	2836000	2528800	6567800	4918500	3346900	14296000	8874000	9058300	10447000	6853800	6581000	12702000	8373900	7895500
32082000	30772000	33022000	84488000	76280000	92268000	59221000	38352000	37253000	7347600	9856500	12460000	92352000	74047000	132270000	52775000	14053000	13203000
69520000	76961000	78389000	35775000	61949000	48511000	28630000	48651000	42195000	62048000	67574000	36080000	39993000	59771000	233450000	21732000	22668000	22123000
3675400	7249300	4750400	NA	NA	NA	976150	5343900	2554400	8626200	17088000	7795000	NA	NA	NA	3628600	3728200	332450
109240000	103960000	84167000	50284000	38153000	53199000	33568000	44009000	52134000	131940000	136570000	117640000	72663000	81564000	109330000	53530000	90532000	69341000
